Origin,Dest,flight_count,avg_distance,avg_air_time,avg_dep_delay,avg_arr_delay
EWR,MKE,6497,1166.77,113.04,14.46,16.85
EWR,MSN,1815,1285.86,120.23,14.41,12.73
EWR,MSP,18759,1622.21,152.14,8.32,8.02
EWR,MSY,5355,1878.1,165.61,8.63,7.76
EWR,MTJ,103,2888.77,259.79,11.62,28.58
EWR,MYR,1824,885.14,82.92,1.41,1.78
EWR,OAK,83,4110.25,324.94,15.71,8.82
EWR,OKC,2419,2132.38,192.87,9.82,10.57
EWR,OMA,4114,1823.38,164.32,15.43,16.93
EWR,ORD,42870,1157.12,115.18,15.25,15.54
EWR,ORF,8570,457.05,50.14,15.32,16.29
EWR,PBI,11536,1647.96,141.24,10.61,8.87
EWR,PDX,2858,3915.52,325.42,14.66,14.8
EWR,PHL,1799,130.36,32.38,17.44,18.54
EWR,PHX,14074,3432.72,288.5,8.21,3.53
EWR,PIT,14206,513.38,57.47,14.19,14.39
EWR,PSE,579,2618.4,207.16,6.55,6.42
EWR,PVD,8303,257.49,32.71,13.36,13.45
EWR,PWM,7017,457.05,48.7,14.11,14.6
EWR,RDU,20723,669.49,68.34,14.11,14.26
EWR,RIC,8367,447.4,52.9,22.91,23.94
EWR,RNO,16,3846.32,323.21,32.87,45.29
EWR,ROC,8664,395.9,45.4,18.55,19.77
EWR,RSW,6800,1718.78,155.17,5.68,3.49
EWR,SAN,5471,3902.65,321.73,8.26,8.21
EWR,SAT,3036,2525.05,219.23,18.08,17.07
EWR,SAV,4800,1139.41,106.82,16.6,18.96
EWR,SBN,5,1023.54,95.8,56.4,77.4
EWR,SDF,4896,1033.2,105.58,16.52,19.64
EWR,SEA,10019,3864.03,322.83,9.5,7.65
EWR,SFO,14554,4127.96,340.22,9.34,8.13
EWR,SJC,1161,4100.6,342.65,14.48,15.17
EWR,SJU,11800,2587.82,200.11,8.85,7.98
EWR,SLC,4917,3167.18,271.98,10.06,9.81
EWR,SMF,128,4023.35,330.12,11.1,14.65
EWR,SNA,4327,3915.52,326.27,5.07,6.61
EWR,SRQ,2671,1664.06,149.5,4.24,1.06
EWR,STL,9295,1403.34,134.26,12.22,12.78
EWR,STT,1095,2629.66,204.15,2.03,4.5
EWR,SYR,6812,312.21,38.12,18.52,20.05
EWR,TPA,11703,1606.12,141.57,9.8,7.32
EWR,TUL,1796,1955.35,178.05,13.91,17.59
EWR,TUS,573,3405.36,294.28,16.35,16.4
EWR,TYS,3087,1015.49,95.44,19.3,21.59
EWR,XNA,2546,1818.55,165.89,9.94,9.97
EYW,ATL,4179,1039.63,96.76,20.25,17.93
EYW,FLL,285,233.35,32.41,-0.44,-4.4
EYW,MCN,2,920.54,125.0,15.0,46.0
EYW,MCO,1,431.3,46.0,10.0,-40.0
EYW,SRQ,1,325.09,37.0,35.0,-32.0
FAI,ANC,17704,420.04,43.81,5.7,5.02
FAI,BRW,2937,809.5,73.64,7.34,5.31
FAI,MSP,1036,3968.63,291.44,4.99,-0.16
FAI,OME,1,838.47,68.0,9.0,2.0
FAI,SCC,253,600.28,57.03,9.08,-0.15
FAI,SEA,3852,2467.12,192.77,5.82,4.5
FAI,SLC,243,3514.8,260.77,9.21,-1.99
FAR,BIS,1,300.95,34.0,245.0,142.0
FAR,CID,3,690.41,,127.0,
FAR,COS,3,1107.23,,91.67,
FAR,CPR,1,881.92,,-12.0,
FAR,DEN,5553,1009.06,96.81,4.29,3.81
FAR,GJT,6,1285.86,,0.17,
FAR,LAS,141,1939.25,163.14,1.15,-0.01
FAR,MSN,2,722.59,,-6.0,
FAR,MSP,10487,358.88,40.36,2.08,3.02
FAR,ORD,5168,896.4,82.8,16.24,13.66
FAR,RAP,3,582.58,,-3.67,
FAR,SBN,2,1017.1,,18.5,
FAR,SLC,812,1392.08,130.06,-0.27,7.02
FAT,BFL,3,160.93,,2.67,
FAT,BOI,1,809.5,71.0,158.0,148.0
FAT,CDC,1,597.07,,8.0,
FAT,COS,7,1338.97,,-3.0,
FAT,DEN,6021,1358.28,163.23,5.9,5.09
FAT,DFW,3843,2113.06,163.09,3.93,3.41
FAT,GJT,1,1017.1,,122.0,
FAT,LAS,7433,415.21,84.51,7.45,4.14
FAT,LAX,27666,336.35,61.91,3.79,2.09
FAT,LGB,98,357.27,45.58,7.54,-0.9
FAT,MEM,86,2681.16,650.13,5.74,2.96
FAT,MOD,1,144.84,,0.0,
FAT,MRY,4,191.51,,102.0,
FAT,MTJ,1,1060.56,,-5.0,
FAT,ONT,443,357.27,40.75,-2.14,-9.03
FAT,PHX,3542,793.4,78.73,2.64,0.53
FAT,PIH,2,914.11,,176.0,
FAT,PSP,95,439.35,277.92,12.86,8.29
FAT,RAP,44,1623.82,520.16,1.7,5.52
FAT,RNO,2,302.56,28.0,62.0,145.0
FAT,SAN,464,505.33,53.22,4.56,3.73
FAT,SBA,3,260.71,-102.5,58.33,49.0
FAT,SFO,13206,254.28,40.05,11.01,10.2
FAT,SGF,45,2336.76,580.51,9.47,9.27
FAT,SLC,6819,806.28,106.62,5.41,4.52
FAT,SMF,5,268.76,33.0,70.4,79.0
FAT,SNA,1,383.02,,-5.0,
FAT,TUS,42,957.56,314.07,5.83,3.1
FAT,TWF,7,775.7,,2.0,
FAT,VIS,1827,57.94,12.72,4.28,2.17
FAY,ATL,8702,532.69,62.29,14.17,12.61
FAY,CAE,1,236.57,43.0,0.0,-27.0
FAY,CLT,6,189.9,35.33,17.5,23.0
FAY,MCN,1,510.16,128.0,40.0,76.0
FCA,ATL,21,2962.79,220.43,6.86,1.71
FCA,BOI,1,548.78,,0.0,
FCA,DEN,431,1211.83,101.76,-0.88,4.5
FCA,GJT,3,1120.1,,22.33,
FCA,GTF,2308,234.96,26.81,0.22,-0.26
FCA,IDA,4,560.05,,5.25,
FCA,MSO,250,156.11,22.52,1.92,-0.43
FCA,MSP,1225,1651.18,131.6,12.35,12.16
FCA,OGD,1,811.11,,0.0,
FCA,ORD,26,2175.83,159.72,8.6,22.68
FCA,PHX,176,1662.45,136.21,14.7,9.06
FCA,PIH,4,613.16,,5.75,
FCA,SLC,10193,856.17,92.05,0.37,-0.45
FCA,TWF,5,648.56,,3.8,
FLG,PHX,3640,191.51,40.26,5.18,5.2
FLL,ATL,33867,935.03,87.63,8.34,8.75
FLL,BDL,3802,1887.76,150.14,9.26,9.12
FLL,BNA,2524,1276.21,113.48,3.64,-1.12
FLL,BOS,12706,1990.75,161.27,8.84,6.5
FLL,BTV,1,2137.2,,44.0,
FLL,BUF,71,1876.49,154.93,6.64,9.16
FLL,BWI,13377,1488.64,125.97,9.72,5.3
FLL,CAK,179,1651.18,139.2,20.24,14.05
FLL,CLE,3410,1709.12,145.74,1.39,1.88
FLL,CLT,12700,1015.49,96.28,6.09,5.69
FLL,CMH,95,1564.28,138.04,31.26,34.59
FLL,CVG,4273,1499.9,130.5,3.91,2.47
FLL,DCA,7263,1446.8,121.7,4.59,3.58
FLL,DEN,3298,2740.71,233.43,6.35,5.52
FLL,DFW,14133,1800.85,159.0,8.35,7.39
FLL,DTW,6679,1813.73,153.77,6.65,7.58
FLL,EWR,17877,1713.95,148.26,17.0,17.01
FLL,EYW,286,233.35,31.98,5.93,-0.41
FLL,FNT,260,1902.24,163.25,18.32,23.48
FLL,GPT,1471,997.79,93.47,2.52,3.03
FLL,GRR,1,1927.99,158.0,56.0,52.0
FLL,GSO,200,1110.44,103.99,11.47,15.9
FLL,HOU,1615,1540.14,141.84,6.9,-6.28
FLL,HPN,978,1767.06,151.58,8.8,11.98
FLL,IAD,6557,1450.02,122.44,6.13,3.67
FLL,IAH,9436,1553.01,136.25,4.05,3.59
FLL,IND,2348,1617.39,139.86,7.31,9.35
FLL,ISP,5088,1759.01,145.06,9.93,1.41
FLL,JAX,10774,511.77,51.19,8.89,7.52
FLL,JFK,29033,1720.38,139.75,11.95,13.46
FLL,LAS,3538,3498.71,288.78,10.48,9.83
FLL,LAX,6261,3769.07,304.0,8.84,7.15
FLL,LEX,122,1390.47,120.03,6.42,-0.13
FLL,LGA,20009,1731.65,146.25,16.84,16.33
FLL,LGB,1826,3744.93,127.73,1.77,-4.71
FLL,MCO,12328,286.46,34.86,8.4,6.63
FLL,MDW,9094,1876.49,160.46,7.48,4.06
FLL,MEM,2405,1369.55,123.9,3.6,3.86
FLL,MHT,30,2032.6,166.2,4.7,-11.13
FLL,MIA,2,33.8,15.5,-4.0,0.0
FLL,MKE,86,2000.41,167.17,1.64,8.79
FLL,MSP,2400,2393.09,203.99,9.49,10.35
FLL,MSY,2549,1083.09,103.65,7.72,2.27
FLL,OAK,698,4144.05,167.73,2.41,-11.94
FLL,ORD,11282,1902.24,167.49,12.25,13.82
FLL,PHF,419,1274.6,106.63,4.26,0.15
FLL,PHL,19055,1596.47,137.8,11.29,9.11
FLL,PHX,2888,3173.62,271.12,11.53,10.24
FLL,PIE,2,323.48,37.0,-6.5,-11.0
FLL,PIT,4276,1599.68,135.06,5.1,3.96
FLL,PSE,57,1660.84,153.3,9.89,5.26
FLL,PVD,269,1911.9,154.81,16.2,8.43
FLL,RDU,192,1094.35,101.34,12.87,13.61
FLL,RIC,442,1295.52,113.87,10.17,9.4
FLL,ROC,379,1905.46,154.64,8.42,11.25
FLL,RSW,2,167.37,29.5,6.0,22.0
FLL,SJU,6281,1683.37,125.81,7.72,5.81
FLL,SLC,1336,3352.26,279.73,5.01,1.32
FLL,STL,3821,1699.46,147.38,7.79,4.14
FLL,SWF,858,1800.85,154.46,9.1,12.23
FLL,SYR,61,1926.38,157.72,16.75,10.17
FLL,TLH,699,632.47,59.41,9.01,6.17
FLL,TPA,16370,317.04,30.49,7.94,5.68
FLO,AGS,1,226.92,128.0,20.0,90.0
FLO,ATL,4445,439.35,50.59,10.3,7.81
FLO,GSP,1,241.4,111.0,-6.0,50.0
FMN,ABQ,3,238.18,24.0,203.67,164.0
FNT,ATL,12892,1036.41,100.37,12.09,11.23
FNT,CHA,1,889.97,,75.0,
FNT,CVG,3050,442.57,43.09,4.1,-0.29
FNT,DFW,117,1614.17,142.33,7.61,2.97
FNT,DTW,7162,90.12,18.79,1.03,1.39
FNT,FLL,260,1902.24,166.97,6.77,12.42
FNT,LAS,530,2788.99,236.48,6.18,9.75
FNT,LGA,95,852.95,85.77,13.3,14.57
FNT,MCO,2614,1627.04,137.5,-0.31,0.51
FNT,MSP,1450,790.19,80.89,2.5,2.0
FNT,ORD,2281,358.88,44.52,14.15,17.07
FNT,RSW,584,1831.43,156.51,10.26,11.91
FNT,TPA,1347,1667.28,142.92,9.23,10.17
FSD,ATL,490,1535.31,124.59,19.53,3.88
FSD,CID,1,453.83,,21.0,
FSD,COS,6,852.95,,6.0,
