IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
CSG,32.51633333,-84.93886111,6052.0,3028.0,3024,37.34,37.34,34.24,26.19,133.58,4.43,6.47,87.0,1.0,1.0,1,2.0
FNT,42.96550333,-83.74345639,5958.0,2990.0,2968,47.1,47.1,47.87,22.48,264.85,5.18,6.7,71.0,4.0,2.0,2,4.0
SUX,42.40260333,-96.38436694,5939.0,2984.0,2955,55.31,55.31,55.19,44.23,368.69,2.05,5.13,73.0,4.0,4.0,4,8.0
HDN,40.48118028,-107.2176597,5852.0,2931.0,2921,117.85,117.85,116.52,96.39,1135.15,11.59,8.77,77.0,12.0,10.0,10,20.0
SCC,70.19475583,-148.4651608,5295.0,2643.0,2652,81.97,81.97,79.75,72.72,784.09,9.21,9.86,86.0,26.0,3.0,3,6.0
ADQ,57.74996778,-152.4938553,4985.0,2494.0,2491,51.4,51.4,49.73,40.22,405.55,8.17,10.37,173.0,0.0,1.0,2,3.0
OAJ,34.82916444,-77.61213778,4815.0,2422.0,2393,54.16,54.16,55.52,45.06,307.38,2.38,3.2,92.0,1.0,1.0,1,2.0
BQN,18.49486111,-67.12944444,4612.0,2316.0,2296,190.49,190.49,185.88,174.29,2076.62,2.93,6.46,19.0,12.0,2.0,2,4.0
PIA,40.66424333,-89.69330556,4428.0,2233.0,2195,35.82,35.82,34.02,22.05,143.62,4.64,5.44,29.0,11.0,2.0,3,5.0
BFL,35.43359806,-119.0567681,4416.0,2225.0,2191,168.13,168.13,165.95,148.93,1873.79,4.45,12.13,16.0,4.0,3.0,4,7.0
DUT,53.90013889,-166.5435,4404.0,2203.0,2201,113.78,113.78,111.71,103.59,1274.6,12.68,12.36,368.0,2.0,1.0,1,2.0
AKN,58.67680167,-156.6492175,4277.0,2140.0,2137,45.53,45.53,41.99,35.21,340.67,5.99,10.36,45.0,23.0,2.0,2,4.0
DLG,59.0454125,-158.5033389,3495.0,1748.0,1747,53.32,53.32,50.61,48.48,449.01,7.21,10.87,51.0,10.0,3.0,2,5.0
LFT,30.20527972,-91.987655,2836.0,1432.0,1404,53.39,53.39,51.52,38.52,325.62,4.08,8.57,22.0,3.0,2.0,2,4.0
ACY,39.45758333,-74.57716667,2706.0,1358.0,1348,70.39,70.39,70.74,,497.29,3.01,0.01,25.0,0.0,1.0,1,2.0
CPR,42.90835556,-106.4644661,2661.0,1333.0,1328,56.37,56.37,54.56,,443.75,3.47,5.91,29.0,0.0,2.0,2,4.0
GUC,38.53396333,-106.9331817,2381.0,1194.0,1187,132.28,132.28,129.37,108.56,1371.69,11.37,12.27,24.0,8.0,5.0,5,10.0
GUM,13.48345,-144.7959825,2349.0,1027.0,1322,116.49,116.49,115.22,,1343.37,-1.48,-2.43,7.0,0.0,3.0,3,6.0
