IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
SEA,47.44898194,-122.3093131,20482,10243,10239,174.95,174.95,176.35,151.86,1926.48,14.27,15.65,114,31,46,46,92
PIT,40.49146583,-80.23287083,18843,9419,9424,111.41,111.41,110.84,87.75,958.78,11.48,9.99,221,17,67,67,134
BWI,39.17540167,-76.66819833,17851,8925,8926,119.31,119.31,122.03,99.93,1113.27,13.72,12.28,114,21,50,50,100
MCO,28.42888889,-81.31602778,17672,8837,8835,145.17,145.17,146.76,123.55,1414.44,8.7,6.96,128,47,54,54,108
DCA,38.85208333,-77.03772222,16667,8338,8329,107.77,107.77,109.38,82.82,870.17,6.48,5.42,449,27,41,41,82
SAN,32.73355611,-117.1896567,14868,7436,7432,131.08,131.08,130.56,110.41,1330.68,8.38,8.52,97,24,34,34,68
SJC,37.36186194,-121.9290089,13364,6682,6682,137.77,137.77,138.16,115.49,1397.89,8.54,7.77,108,16,30,30,60
SLC,40.78838778,-111.9777731,13225,6609,6616,132.66,132.66,134.4,109.51,1337.89,8.82,5.62,70,26,46,47,93
MIA,25.79325,-80.29055556,12976,6490,6486,159.01,159.01,160.17,131.93,1522.1,11.98,4.78,151,35,40,40,80
JFK,40.63975111,-73.77892556,12069,6032,6037,210.37,210.37,213.82,175.04,2033.85,17.58,15.24,230,17,36,36,72
TPA,27.97547222,-82.53325,11899,5949,5950,128.99,128.99,131.11,109.87,1246.85,8.7,9.18,89,20,46,46,92
CVG,39.04614278,-84.6621725,11767,5887,5880,127.02,127.02,129.76,103.59,1202.13,10.42,6.08,168,21,58,58,116
OAK,37.72129083,-122.2207167,11539,5769,5770,104.33,104.33,105.91,88.64,1013.24,9.88,8.5,57,9,25,25,50
MCI,39.29760528,-94.71390556,11072,5537,5535,111.03,111.03,113.44,93.05,1064.07,7.4,7.03,80,17,38,38,76
HOU,29.64541861,-95.27888889,10529,5265,5264,78.21,78.21,80.25,65.44,695.36,11.21,7.72,141,4,25,25,50
MEM,35.04241667,-89.97666667,10365,5181,5184,109.46,109.46,109.36,86.74,969.71,5.92,3.28,89,16,47,46,93
PDX,45.58872222,-122.5975,10313,5157,5156,149.63,149.63,151.42,130.94,1613.77,8.66,8.67,47,22,31,31,62
IAD,38.94453194,-77.45580972,10037,5019,5018,173.6,173.6,176.69,148.48,1775.12,14.26,10.24,156,19,32,32,64
BNA,36.12447667,-86.67818222,9861,4928,4933,109.36,109.36,111.27,92.53,1030.79,6.94,5.6,50,15,44,44,88
CLE,41.41089417,-81.84939667,9427,4713,4714,121.02,121.02,123.96,98.13,1086.36,7.39,6.87,93,12,34,34,68
FLL,26.07258333,-80.15275,9268,4635,4633,147.5,147.5,148.88,124.79,1429.12,10.02,9.0,54,33,33,33,66
MDW,41.7859825,-87.75242444,9117,4558,4559,91.62,91.62,94.37,74.54,801.58,14.23,6.96,42,16,28,28,56
